iter	RMSE
297	4.169413528
298	4.169329522
299	4.169286823
300	4.169248439
301	4.16919495
302	4.169149974
303	4.169096242
304	4.169057176
305	4.169013246
306	4.168916532
307	4.16886328
308	4.168821835
309	4.16876015
310	4.168716598
311	4.168658737
312	4.16857571
313	4.168510354
314	4.168465042
315	4.168409157
316	4.168351058
317	4.168310496
318	4.168269495
319	4.168216732
320	4.168165659
321	4.168117022
322	4.168085912
323	4.168029471
324	4.167983623
325	4.167905346
326	4.167879733
327	4.167837245
328	4.167797087
329	4.16773532
330	4.167673095
331	4.167616877
332	4.167575625
333	4.167508563
334	4.167463324
335	4.167425398
336	4.167350908
337	4.167282913
338	4.167245702
339	4.167174757
340	4.167125663
341	4.167078482
342	4.167028686
343	4.166991367
344	4.166972179
345	4.166908746
346	4.166860014
347	4.166824579
348	4.166772391
349	4.166724728
350	4.166670703
351	4.166618424
352	4.166577164
353	4.166518469
354	4.166455907
355	4.166410284
356	4.166353129
357	4.166293866
358	4.166238489
359	4.166188167
360	4.166122736
361	4.166091992
362	4.166034792
363	4.165987551
364	4.165941922
365	4.165878406
366	4.165826499
367	4.165767634
368	4.165720104
369	4.165669418
370	4.165621062
371	4.165586612
372	4.165551194
373	4.165494221
374	4.165438321
375	4.165373154
376	4.165347655
377	4.165309718
378	4.16525497
379	4.165213747
380	4.165161197
381	4.165131742
382	4.165089328
383	4.165055628
384	4.164999747
385	4.164951332
386	4.164915305
387	4.164865413
388	4.164816235
389	4.164771188
390	4.164707505
391	4.164674064
392	4.16463741
393	4.164599028
394	4.16455068
395	4.164525581
396	4.164475653
397	4.164391319
398	4.164278225
399	4.164243123
400	4.16420045
401	4.164167615
402	4.164087618
403	4.164024067
404	4.163972793
405	4.163926264
406	4.163866928
407	4.163798005
408	4.163766173
409	4.163718491
410	4.163696033
411	4.163652125
412	4.163620872
413	4.163586499
414	4.163562445
415	4.16350986
416	4.163446974
417	4.16335621
418	4.163315179
419	4.163280647
420	4.163259436
421	4.163189192
422	4.163148023
423	4.163061461
424	4.16301392
425	4.16295994
426	4.162892256
427	4.162851848
428	4.162805574
429	4.162765293
430	4.162709762
431	4.162668366
432	4.162641023
433	4.162604263
434	4.162579703
435	4.162531563
436	4.162487739
437	4.162441897
438	4.162362921
439	4.162326745
440	4.162289209
441	4.162244067
442	4.162169811
443	4.162105528
444	4.16207157
445	4.162023765
446	4.161982009
447	4.161932139
448	4.161844855
449	4.161795991
450	4.161754588
451	4.161690401
452	4.161643316
453	4.161602649
454	4.161570407
455	4.161536135
456	4.161464472
457	4.161417814
458	4.161385087
459	4.161341076
460	4.161299586
461	4.161277456
462	4.161238488
463	4.16118615
464	4.161123108
465	4.161072717
466	4.161040787
467	4.161013173
468	4.160974855
469	4.160929242
470	4.16087285
471	4.160814329
472	4.160734817
473	4.160699102
474	4.160643871
475	4.160590306
476	4.160556611
477	4.160497766
478	4.160440593
479	4.160400225
480	4.160349709
481	4.16032111
482	4.160289775
483	4.160257631
484	4.16017962
485	4.160146077
486	4.160126384
487	4.160094158
488	4.160048544
489	4.160012404
490	4.159974973
491	4.159898944
492	4.159839315
493	4.159794653
494	4.159756885
495	4.159718738
496	4.15965855
497	4.159598629
498	4.159564496
499	4.159517815
500	4.159477106
501	4.15944631
502	4.15940597
503	4.159381282
504	4.159348449
505	4.159292456
506	4.159252526
507	4.1592166
508	4.159174902
509	4.159138936
510	4.159080618
511	4.159040599
512	4.159002497
513	4.15896803
514	4.15890455
515	4.158859093
516	4.15881702
517	4.158775134
518	4.158746407
519	4.158700124
520	4.158665654
521	4.158631574
522	4.158574906
523	4.158530684
524	4.15846848
525	4.158436604
526	4.158388408
527	4.158336811
528	4.158269859
529	4.158226084
530	4.158201138
531	4.158174891
532	4.158139081
533	4.158065786
534	4.158018848
535	4.157963389
536	4.157926157
537	4.157890738
538	4.15785096
539	4.157822542
540	4.157783096
541	4.157748473
542	4.157698756
543	4.157651583
544	4.157602037
545	4.157542751
546	4.157499898
547	4.157451824
548	4.157429984
549	4.157403044
550	4.157357793
551	4.157309929
552	4.157273097
553	4.157211425
554	4.157168649
555	4.157128016
556	4.157093139
557	4.157065182
558	4.157040082
559	4.157006731
560	4.156968643
561	4.156915115
562	4.15687679
563	4.156834852
564	4.15677824
565	4.156721223
566	4.156677465
567	4.156647323
568	4.156589204
569	4.156563214
570	4.156519359
571	4.156474498
572	4.156402716
573	4.156363087
574	4.15634692
575	4.156309931
576	4.15627586
577	4.156246524
578	4.156196549
579	4.156138768
580	4.156104658
581	4.156060729
582	4.156012236
583	4.155963752
584	4.15593229
585	4.155900798
586	4.155836397
587	4.155787085
588	4.155730464
589	4.155678092
590	4.155606682
591	4.155566068
592	4.155514617
593	4.155464083
594	4.155434708
595	4.155390914
596	4.155344144
597	4.155300524
598	4.155261378
599	4.155229894
600	4.15519633
601	4.15515762
602	4.15511882
603	4.155061382
604	4.155017492
605	4.15495548
606	4.154915504
607	4.154885642
608	4.154843106
609	4.154763317
610	4.15472415
611	4.154683662
612	4.154655207
613	4.154625934
614	4.154580938
615	4.15450878
616	4.154469061
617	4.154425083
618	4.154389156
619	4.154347595
620	4.154292295
621	4.154235677
622	4.154201397
623	4.154139214
624	4.154114996
625	4.154055139
626	4.15399687
627	4.15392719
628	4.153909939
629	4.153884771
630	4.153859928
631	4.153807055
632	4.153775782
633	4.153714041
634	4.153666569
635	4.15362562
636	4.153605525
637	4.153565543
638	4.15353313
639	4.153497651
640	4.153469306
641	4.153445832
642	4.153397832
643	4.153352075
644	4.153315843
645	4.153270668
646	4.153212693
647	4.15316922
648	4.153134715
649	4.153100934
650	4.15303979
651	4.153009616
652	4.152961351
653	4.152926959
654	4.152889063
655	4.15285469
656	4.152793647
657	4.152753305
658	4.152701367
659	4.152647855
660	4.152597339
661	4.152550044
662	4.152504816
663	4.15245387
664	4.152406859
665	4.152369752
666	4.152334465
667	4.152312546
668	4.152241899
669	4.152193309
670	4.152118749
671	4.152080241
672	4.152030456
673	4.151994972
674	4.151965903
675	4.151930277
676	4.151897345
677	4.151838541
678	4.151798578
679	4.151768727
680	4.151735071
681	4.151685354
682	4.151666163
683	4.151617223
684	4.151581718
685	4.151542321
686	4.151517292
687	4.15143627
688	4.151394553
689	4.15135136
690	4.151306293
691	4.15126035
692	4.15119345
693	4.151135105
694	4.151096616
695	4.151063247
696	4.151002303
697	4.150946316
698	4.150893525
699	4.150835939
700	4.150798137
701	4.150756581
702	4.150727435
703	4.150699886
704	4.150667303
705	4.150583863
706	4.150536208
707	4.150494001
708	4.150419831
709	4.150382576
710	4.150345554
711	4.150312206
712	4.150282011
713	4.150247949
714	4.150204168
715	4.150148461
716	4.150108992
717	4.150068897
718	4.150011729
719	4.149979296
720	4.149928239
721	4.149886909
722	4.149854206
723	4.149799221
724	4.149744389
725	4.149702267
726	4.149648472
727	4.149608354
728	4.149572607
729	4.149526349
730	4.149489647
731	4.149446689
732	4.149402987
733	4.149378818
734	4.149312662
735	4.149270793
736	4.14922907
737	4.149188294
738	4.149154734
739	4.149124948
740	4.149083394
741	4.149060686
742	4.14901498
743	4.148978626
744	4.148923216
745	4.148886629
746	4.148852095
747	4.148820828
748	4.148768426
749	4.148721705
750	4.148675612
751	4.14864176
752	4.148586084
753	4.148539028
754	4.1485048
755	4.148467869
756	4.148415951
757	4.14834548
758	4.148281547
759	4.148193636
760	4.148147292
761	4.148114449
762	4.148057866
763	4.14802119
764	4.147973822
765	4.147941611
766	4.14790672
767	4.147866476
768	4.147841936
769	4.147797005
770	4.147769986
771	4.147729728
772	4.147694943
773	4.147656686
774	4.147616775
775	4.147581629
776	4.147539484
777	4.147494562
778	4.147445129
779	4.147427507
780	4.147396375
781	4.147354329
782	4.147308219
783	4.147243784
784	4.147212713
785	4.147173893
786	4.147134235
787	4.147088394
788	4.14706363
789	4.147006538
790	4.146972835
791	4.146934088
792	4.146881524
793	4.146853371
794	4.146790942
795	4.146760553
796	4.14673817
797	4.146704599
798	4.146664124
799	4.14663523
800	4.146588838
801	4.146541502
802	4.146505485
803	4.146465407
804	4.146420652
805	4.146389592
806	4.146368172
807	4.146331228
808	4.146269999
809	4.146230625
810	4.146203074
811	4.146156021
812	4.146095557
813	4.146024711
814	4.145981058
815	4.145941733
816	4.145906816
817	4.145871525
818	4.145838521
819	4.145797655
820	4.145760997
821	4.145727862
822	4.145683734
823	4.145644794
824	4.145611888
825	4.145587189
826	4.145554607
827	4.145514387
828	4.145467165
829	4.145427206
830	4.14538814
831	4.145333625
832	4.145286001
833	4.145203502
834	4.145166361
835	4.145149519
836	4.145102221
837	4.145064783
838	4.145030403
839	4.144982928
840	4.144930331
841	4.144900801
842	4.144860092
843	4.144823755
844	4.144782769
845	4.14474156
846	4.144685148
847	4.144631045
848	4.144575787
849	4.144547677
850	4.144514296
851	4.14446352
852	4.144423181
853	4.144388552
854	4.144357854
855	4.144332461
856	4.144295035
857	4.144234609
858	4.144195451
859	4.144158967
860	4.144110835
861	4.14404187
862	4.143999338
863	4.143929598
864	4.143903456
865	4.143863834
866	4.143833791
867	4.143800611
868	4.143764452
869	4.143731605
870	4.143712021
871	4.14366768
872	4.143604742
873	4.143565344
874	4.1435114
875	4.143472543
876	4.143435687
877	4.143392526
878	4.143369201
879	4.143342223
880	4.143307109
881	4.143251201
882	4.143208732
883	4.143172057
884	4.143147293
885	4.143110835
886	4.143080952
887	4.143028645
888	4.143000079
889	4.142961203
890	4.142908418
891	4.142859353
892	4.142832341
893	4.142793999
894	4.142744356
895	4.14269561
896	4.142652536
897	4.142623944
898	4.142565265
899	4.142527935
900	4.142494215
901	4.142441168
902	4.142405825
903	4.142362979
904	4.142338807
905	4.142296831
906	4.142272688
907	4.14224184
908	4.1421942
909	4.142153435
910	4.142125212
911	4.142094469
912	4.142053462
913	4.14201212
914	4.141965103
915	4.141925432
916	4.141900919
917	4.141871297
918	4.141831604
919	4.141802815
920	4.141773918
921	4.141730872
922	4.141680285
923	4.141639605
924	4.141607968
925	4.141574407
926	4.141546261
927	4.141494884
928	4.141479866
929	4.141435573
930	4.141393991
931	4.141337253
932	4.141289995
933	4.141239261
934	4.141206338
935	4.141160876
936	4.141133995
937	4.141094638
938	4.14104796
939	4.141028676
940	4.140987814
941	4.140946557
942	4.140911453
943	4.140887458
944	4.140844094
945	4.14081029
946	4.140744498
947	4.140715928
948	4.140658193
949	4.140625502
950	4.140588016
951	4.14053923
952	4.140503972
953	4.140476679
954	4.140427728
955	4.140397802
956	4.140364439
957	4.140340776
958	4.140312321
959	4.14028329
960	4.14023272
961	4.140206822
962	4.140178983
963	4.140147536
964	4.140112234
965	4.140079619
966	4.140026554
967	4.139984629
968	4.139945043
969	4.139917376
970	4.139888919
971	4.139866611
972	4.139834252
973	4.139797569
974	4.1397615
975	4.139704564
976	4.139669137
977	4.139585903
978	4.139545882
979	4.139483682
980	4.13943381
981	4.139397513
982	4.139371815
983	4.139345126
984	4.139313448
985	4.139287457
986	4.139251748
987	4.139216397
988	4.139179733
989	4.139148476
990	4.13908886
991	4.139058156
992	4.139005078
993	4.138969837
994	4.138923913
995	4.13889047
996	4.138856478
997	4.138815912
998	4.138775853
999	4.138731487
