iter	Passed	Remaining
605	21372	13895
606	21451	13888
607	21541	13888
608	21643	13896
609	21752	13907
610	21859	13917
611	21894	13880
612	21927	13843
613	21960	13806
614	21995	13769
615	22032	13734
616	22063	13695
617	22098	13659
618	22129	13620
619	22165	13585
620	22202	13550
621	22242	13517
622	22276	13480
623	22309	13442
624	22353	13411
625	22438	13405
626	22537	13407
627	22678	13434
628	22758	13423
629	22812	13397
630	22844	13359
631	22873	13318
632	22907	13281
633	22946	13247
634	22981	13209
635	23017	13173
636	23049	13134
637	23084	13098
638	23122	13062
639	23160	13027
640	23190	12988
641	23220	12948
642	23254	12911
643	23291	12875
644	23399	12878
645	23527	12892
646	23609	12881
647	23659	12852
648	23708	12822
649	23764	12796
650	23806	12762
651	23843	12726
652	23877	12688
653	23912	12651
654	23948	12613
655	23981	12575
656	24016	12538
657	24053	12502
658	24091	12466
659	24127	12429
660	24165	12393
661	24199	12355
662	24235	12318
663	24267	12279
664	24303	12243
665	24336	12204
666	24371	12167
667	24403	12128
668	24440	12092
669	24483	12058
670	24524	12024
671	24558	11987
672	24589	11947
673	24620	11908
674	24655	11870
675	24693	11835
676	24728	11798
677	24763	11760
678	24798	11723
679	24831	11685
680	24865	11647
681	24907	11613
682	24941	11576
683	24973	11537
684	25008	11500
685	25042	11462
686	25075	11424
687	25117	11390
688	25151	11352
689	25185	11315
690	25222	11278
691	25256	11241
692	25292	11204
693	25331	11169
694	25365	11131
695	25398	11093
696	25432	11055
697	25468	11019
698	25503	10982
699	25540	10945
700	25577	10909
701	25610	10871
702	25641	10832
703	25674	10795
704	25711	10758
705	25751	10723
706	25786	10686
707	25824	10650
708	25862	10615
709	25898	10578
710	25930	10540
711	25967	10503
712	26002	10466
713	26033	10427
714	26067	10390
715	26109	10356
716	26144	10319
717	26184	10284
718	26219	10247
719	26251	10208
720	26291	10173
721	26325	10136
722	26358	10098
723	26393	10061
724	26430	10025
725	26467	9989
726	26504	9952
727	26552	9920
728	26586	9883
729	26623	9847
730	26658	9810
731	26698	9774
732	26734	9738
733	26769	9701
734	26810	9666
735	26841	9627
736	26875	9590
737	26910	9553
738	26944	9516
739	26976	9478
740	27009	9440
741	27044	9403
742	27078	9366
743	27113	9329
744	27149	9292
745	27182	9255
746	27216	9217
747	27253	9181
748	27287	9144
749	27319	9106
750	27353	9069
751	27385	9031
752	27416	8993
753	27452	8956
754	27488	8920
755	27521	8882
756	27555	8845
757	27590	8808
758	27625	8771
759	27663	8735
760	27698	8699
761	27731	8661
762	27774	8627
763	27808	8590
764	27846	8554
765	27884	8518
766	27922	8482
767	27951	8443
768	27983	8406
769	28015	8368
770	28050	8331
771	28083	8294
772	28117	8257
773	28150	8219
774	28186	8183
775	28221	8146
776	28255	8109
777	28297	8074
778	28330	8037
779	28366	8000
780	28399	7963
781	28434	7926
782	28470	7890
783	28508	7854
784	28539	7816
785	28577	7780
786	28610	7743
787	28645	7706
788	28676	7668
789	28716	7633
790	28756	7598
791	28794	7562
792	28831	7526
793	28864	7488
794	28898	7451
795	28934	7415
796	28983	7382
797	29015	7344
798	29051	7308
799	29085	7271
800	29120	7234
801	29155	7198
802	29192	7161
803	29226	7124
804	29285	7094
805	29318	7056
806	29349	7019
807	29386	6982
808	29419	6945
809	29454	6909
810	29487	6871
811	29520	6834
812	29554	6797
813	29592	6761
814	29629	6725
815	29665	6689
816	29701	6652
817	29739	6616
818	29779	6581
819	29815	6544
820	29848	6507
821	29882	6470
822	29918	6434
823	29951	6397
824	29989	6361
825	30022	6324
826	30056	6287
827	30095	6251
828	30133	6215
829	30167	6178
830	30204	6142
831	30238	6105
832	30275	6069
833	30309	6032
834	30344	5996
835	30377	5959
836	30418	5923
837	30455	5887
838	30494	5851
839	30529	5815
840	30562	5778
841	30595	5741
842	30632	5704
843	30665	5668
844	30701	5631
845	30739	5595
846	30777	5559
847	30811	5522
848	30852	5487
849	30882	5449
850	30914	5412
851	30948	5376
852	30980	5338
853	31015	5302
854	31050	5265
855	31082	5228
856	31117	5192
857	31159	5156
858	31192	5120
859	31229	5083
860	31268	5048
861	31307	5012
862	31342	4975
863	31378	4939
864	31410	4902
865	31446	4865
866	31480	4829
867	31512	4792
868	31545	4755
869	31580	4718
870	31612	4681
871	31649	4645
872	31689	4609
873	31732	4574
874	31768	4538
875	31799	4501
876	31833	4464
877	31870	4428
878	31905	4392
879	31940	4355
880	31978	4319
881	32012	4282
882	32052	4246
883	32086	4210
884	32121	4173
885	32158	4137
886	32190	4100
887	32223	4064
888	32257	4027
889	32293	3991
890	32331	3955
891	32367	3918
892	32397	3881
893	32433	3845
894	32470	3809
895	32505	3772
896	32542	3736
897	32578	3700
898	32611	3663
899	32644	3627
900	32679	3590
901	32718	3554
902	32757	3518
903	32789	3482
904	32819	3445
905	32856	3408
906	32888	3372
907	32923	3335
908	32961	3299
909	32995	3263
910	33028	3226
911	33063	3190
912	33098	3154
913	33133	3117
914	33169	3081
915	33203	3044
916	33240	3008
917	33270	2971
918	33300	2935
919	33330	2898
920	33362	2861
921	33402	2825
922	33435	2789
923	33467	2752
924	33498	2716
925	33533	2679
926	33567	2643
927	33603	2607
928	33641	2571
929	33677	2534
930	33715	2498
931	33747	2462
932	33778	2425
933	33816	2389
934	33851	2353
935	33882	2316
936	33917	2280
937	33951	2244
938	33986	2207
939	34018	2171
940	34047	2134
941	34081	2098
942	34118	2062
943	34150	2025
944	34184	1989
945	34216	1953
946	34255	1917
947	34285	1880
948	34321	1844
949	34353	1808
950	34388	1771
951	34429	1735
952	34473	1700
953	34505	1663
954	34539	1627
955	34574	1591
956	34609	1555
957	34648	1519
958	34687	1482
959	34719	1446
960	34750	1410
961	34783	1373
962	34818	1337
963	34853	1301
964	34885	1265
965	34917	1228
966	34951	1192
967	34989	1156
968	35024	1120
969	35058	1084
970	35091	1048
971	35122	1011
972	35155	975
973	35190	939
974	35222	903
975	35261	867
976	35297	830
977	35332	794
978	35365	758
979	35400	722
980	35435	686
981	35469	650
982	35503	614
983	35534	577
984	35568	541
985	35598	505
986	35631	469
987	35663	433
988	35702	397
989	35733	360
990	35772	324
991	35809	288
992	35844	252
993	35879	216
994	35915	180
995	35949	144
996	35981	108
997	36016	72
998	36054	36
999	36093	0
